source_file,row_type,year,branch,period,period_type,month_number,sales_amount
REP_S_00134_SMRY.csv,branch,2025,Stories Bayada,september,month,9,4917258.26
REP_S_00134_SMRY.csv,branch,2025,Stories Bayada,october,month,10,5224336.34
REP_S_00134_SMRY.csv,branch,2025,Stories Bayada,november,month,11,4588470.28
REP_S_00134_SMRY.csv,branch,2025,Stories Bayada,december,month,12,4403458.27
REP_S_00134_SMRY.csv,branch,2025,Stories Bayada,total_by_year,year_total,,52643538.48
REP_S_00134_SMRY.csv,branch,2025,Stories Centro Mall,january,month,1,3264533.33
REP_S_00134_SMRY.csv,branch,2025,Stories Centro Mall,february,month,2,2944806.67
REP_S_00134_SMRY.csv,branch,2025,Stories Centro Mall,march,month,3,2218466.67
REP_S_00134_SMRY.csv,branch,2025,Stories Centro Mall,april,month,4,3937166.67
REP_S_00134_SMRY.csv,branch,2025,Stories Centro Mall,may,month,5,1955286.67
REP_S_00134_SMRY.csv,branch,2025,Stories Centro Mall,june,month,6,924383.33
REP_S_00134_SMRY.csv,branch,2025,Stories Centro Mall,july,month,7,4201339.95
REP_S_00134_SMRY.csv,branch,2025,Stories Centro Mall,august,month,8,4307333.34
REP_S_00134_SMRY.csv,branch,2025,Stories Centro Mall,september,month,9,3232537.55
REP_S_00134_SMRY.csv,branch,2025,Stories Centro Mall,october,month,10,3059645.65
REP_S_00134_SMRY.csv,branch,2025,Stories Centro Mall,november,month,11,3497554.96
REP_S_00134_SMRY.csv,branch,2025,Stories Centro Mall,december,month,12,3998663.08
REP_S_00134_SMRY.csv,branch,2025,Stories Centro Mall,total_by_year,year_total,,37541717.86
REP_S_00134_SMRY.csv,branch,2025,Stories Event Starco,january,month,1,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories Event Starco,february,month,2,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories Event Starco,march,month,3,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories Event Starco,april,month,4,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories Event Starco,may,month,5,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories Event Starco,june,month,6,0.0
REP_S_00134_SMRY.csv,branch,2025,Stories Event Starco,july,month,7,918.92
REP_S_00134_SMRY.csv,branch,2025,Stories Event Starco,august,month,8,3141.14
